id	name.zh-CN	name.en
3059	湖南农业大学	Hunan Agricultural University
5445	湖南农业大学东方科技学院	Orient Science and Technology College of Hunan Agricultural University
8738	湖南人文科技学院	Hunan University of Humanities, Science and Technology
3160	湖南涉外经济学院	Hunan International Economics University
4046	湖南师范大学	Hunan Normal University
9555	湖南中医药大学	Hunan University of Chinese Medicine
11117	湖州师范大学	Huzhou Normal University
20152	湖州学院	Huzhou College
1346	华北电力大学	North China Electric Power University
26327	华北电力大学（保定）	North China Electric Power University (Baoding)
6054	华北科技学院	North China Institute of Science and Technology
9211	华北理工大学	North China University of Science and Technology
8150	华北水利水电大学	North China University of Water Resources and Electric Power
3111	华东交通大学	East China Jiaotong University
421	华东理工大学	East China University of Science and Technology
3108	华东师范大学	East China Normal University
7230	华东政法大学	East China University of Political Science and Law
1740	华南理工大学	South China University of Technology
1738	华南农业大学	South China Agricultural University
1739	华南师范大学	South China Normal University
2977	华侨大学	Huaqiao University
13852	华中科技大学	Huazhong University of Science and Technology
5385	华中农业大学	Huazhong Agricultural University
240	华中师范大学	Central China Normal University
3149	怀化学院	Huaihua University
3150	淮安大学	Huai'an University
26544	淮北理工学院	Huaibei Institute of Technology
5248	淮北师范大学	Huaibei Normal University
5498	淮阴师范学院	Huaiyin Normal University
11149	黄冈师范学院	Huanggang Normal University
6745	黄淮学院	HuangHuai University
3151	黄山学院	Huangshan University
6735	惠州学院	Huizhou University
2815	吉林财经大学	JiLin University of Finance and Economics
944	吉林大学	Jilin University
5557	吉林工商学院	Jilin Business and Technology College
6764	吉林建筑大学	Jilin Jianzhu University
2807	吉林农业大学	Jilin Agricultural University
2808	吉林师范大学	Jilin Normal University
7339	吉林师范大学博达学院	Boda College of Jilin Normal University
36356	吉林外国语大学	Jilin International Studies University
3171	吉首大学	Jishou University
4064	集美大学	Jimei University
21539	集宁师范学院	Jining Normal University
5436	济南大学	University of Jinan
26227	济宁学院	Jining University
22697	济宁医学院	Jining Medical University
945	暨南大学	Jinan University
2816	佳木斯大学	Jiamusi University
15894	嘉兴大学	Jiaxing University
5791	嘉应学院	Jiaying University
22758	江汉大学	Jianghan University
4130	江南大学	Jiangnan University
3976	江苏大学	Jiangsu University
14048	江苏大学京江学院	Jiangsu University Jingjiang College
3563	江苏第二师范学院	Jiangsu Second Normal University
26272	江苏海洋大学	Jiangsu Ocean University
6772	江苏理工学院	Jiangsu University of Technology
8662	江苏师范大学	Jiangsu Normal University
4073	江西财经大学	Jiangxi University of Finance and Economics
26319	江西服装学院	Jiangxi Institute of Fashion Technology
13718	江西工程学院	Jiangxi University of Engineering
25801	江西工程职业学院	Jiangxi Engineering Vocational College
25797	江西工商职业技术学院	Jiangxi Technology Business Polytechnic
13699	江西警察学院	Jiangxi Police Institute
4039	江西理工大学	Jiangxi University of Science and Technology
7797	江西农业大学	Jiangxi Agricultural University
